EnsemblID	GeneName	KO1_L	KO1_L_M	KO8_L	KO8_L_M	WT3_L	WT3_L_M	WT4_L	WT4_L_M	KO1_L_G	KO1_L_M_G	KO8_L_G	KO8_L_M_G	WT3_L_G	WT3_L_M_G	WT4_L_G	WT4_L_M_G
ENSMUSG00000041779.5	Tram2	342	61	250	54	249	37	420	108	812	460	522	295	598	285	871	529
ENSMUSG00000041781.9	Cpsf2	6292	1196	7083	1296	5206	849	6170	1294	7128	1937	7767	1917	5709	1284	6950	2038
ENSMUSG00000041782.14	Lad1	1563	238	1459	273	430	67	729	162	1658	311	1517	323	476	92	768	198
ENSMUSG00000041789.7	2700046A07Rik	0	0	11	5	0	0	7	4	0	0	11	5	12	0	7	4
ENSMUSG00000041791.6	Capza3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041794.13	Myrip	16	1	31	9	18	2	13	1	92	58	89	43	193	12	100	63
ENSMUSG00000041797.7	Abca9	6	3	11	1	13	0	5	1	7	3	13	1	119	2	7	2
ENSMUSG00000041798.15	Gck	16	3	7	1	9	0	7	2	41	25	20	8	66	9	24	11
ENSMUSG00000041801.5	Phlda3	1827	669	1432	605	873	360	1569	666	2082	884	1635	782	993	463	1747	827
ENSMUSG00000041805.3	Pramel1	132	25	64	24	121	39	112	48	134	27	65	25	155	54	125	61
ENSMUSG00000041809.5	Efhc1	16	4	44	7	10	0	17	0	38	20	53	11	88	5	30	12
ENSMUSG00000041815.14	Poldip3	8218	1591	6938	1443	5135	982	7348	1598	9454	2626	7710	2144	6004	1740	8474	2638
ENSMUSG00000041817.14	Fam169a	5986	1300	10056	2187	7181	1386	9360	2031	10509	5164	14955	6453	11550	4953	16329	8216
ENSMUSG00000041827.15	Oasl1	3	0	2	0	5	0	3	1	5	2	7	5	17	0	4	2
ENSMUSG00000041828.15	Abca8a	3	0	5	1	10	0	0	0	6	0	6	1	78	3	0	0
ENSMUSG00000041831.17	Sytl3	11	2	43	7	7	1	36	11	36	21	74	35	57	16	57	27
ENSMUSG00000041836.10	Ptpre	141	55	90	25	19	12	77	42	536	378	250	163	219	100	294	239
ENSMUSG00000041837.4	Pdcd7	1565	479	1771	641	1467	464	1662	586	1850	735	2039	885	1728	662	1963	867
ENSMUSG00000041840.8	Haus1	1757	342	2028	303	1625	256	1791	318	1966	497	2194	446	1739	338	1975	466
ENSMUSG00000041841.8	Rpl37	18410	1730	20986	2163	14130	1256	17633	1979	18618	1907	21160	2318	14256	1365	17782	2097
ENSMUSG00000041842.15	Fhdc1	92	42	72	36	38	13	63	25	119	62	96	57	101	27	103	64
ENSMUSG00000041845.11	Rhod	430	180	257	123	112	47	281	138	761	456	418	274	253	164	552	381
ENSMUSG00000041846.15	Ppp4r3a	11322	3788	13018	3910	9784	2969	12382	4224	13419	5627	14569	5337	11187	4209	14706	6402
ENSMUSG00000041849.7	Card6	79	31	58	30	58	21	50	25	96	45	62	34	63	24	58	32
ENSMUSG00000041852.15	Tcf20	24224	4512	19284	3538	17751	2750	24037	5432	42450	18737	28607	10663	31510	12180	43154	20297
ENSMUSG00000041857.10	Oosp1	0	0	0	0	9	0	0	0	7	1	4	0	108	2	0	0
ENSMUSG00000041859.10	Mcm3	17435	2932	19865	3307	15146	2333	19626	3441	18644	3925	20865	4128	15807	2854	20645	4301
ENSMUSG00000041870.16	Ankrd13a	5410	635	4580	502	3833	373	4794	607	6082	1195	5046	921	4276	755	5475	1232
ENSMUSG00000041872.9	Il17f	6	1	9	5	1	0	10	0	24	14	22	17	33	4	30	13
ENSMUSG00000041878.3	8430432A02Rik	3	3	3	3	0	0	2	2	3	3	3	3	0	0	2	2
ENSMUSG00000041879.13	Ipo9	8157	2132	8010	2031	6865	987	9821	1469	9783	3473	9141	3029	7949	1937	11634	3087
ENSMUSG00000041881.13	Ndufa7	2673	398	2803	417	1424	219	2691	446	3619	1175	3640	1150	2272	906	3776	1393
ENSMUSG00000041885.5	Olfr680-ps1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000041886.7	Macc1	53	6	25	4	10	0	10	5	139	62	110	63	236	28	85	47
ENSMUSG00000041889.7	Shisa4	175	35	113	34	28	8	102	40	201	54	123	42	38	10	115	46
ENSMUSG00000041890.17	Git2	2012	978	1551	605	1366	675	1962	979	2730	1548	2033	984	1742	995	2704	1619
ENSMUSG00000041891.16	Lman1	6910	973	7003	1017	4542	658	6094	1056	7513	1489	7538	1494	5070	1081	6659	1565
ENSMUSG00000041895.15	Wipi1	276	40	269	35	71	5	117	25	409	123	364	95	143	35	208	83
ENSMUSG00000041907.9	Gpr45	10	3	10	7	1	0	10	0	27	12	21	15	117	2	24	11
ENSMUSG00000041911.3	Dlx1	1	1	6	4	0	0	6	3	1	1	6	4	0	0	6	3
ENSMUSG00000041912.12	Tdrkh	128	5	95	7	97	11	101	11	155	23	116	23	116	22	129	36
ENSMUSG00000041915.9	Ammecr1l	1366	687	1283	608	915	389	1372	567	2103	1297	1809	1070	1339	728	1989	1114
ENSMUSG00000041920.14	Slc16a6	680	244	918	372	184	54	520	228	1082	492	1300	673	394	168	975	542
ENSMUSG00000041921.16	Metap1d	427	78	627	141	281	67	496	115	1286	716	1525	819	1053	598	1742	1094
ENSMUSG00000041923.15	Nol4	29	5	13	6	13	8	19	4	112	50	115	84	389	17	92	65
ENSMUSG00000041926.15	Rnpep	1389	317	1233	263	568	91	1183	229	1581	466	1446	452	679	178	1388	405
ENSMUSG00000041930.7	Fam222a	271	139	312	177	113	60	289	155	1164	862	1161	898	739	602	1420	1121
ENSMUSG00000041935.10	AW549877	2424	819	2669	800	1450	370	2103	729	2784	1108	3132	1187	1692	544	2428	1003
ENSMUSG00000041936.18	Agrn	9532	2478	9359	2638	5813	1630	10386	3143	12900	5100	12504	5141	8358	3583	14168	6299
ENSMUSG00000041939.14	Mvk	768	139	671	134	373	108	515	106	1116	426	915	337	612	283	834	376
ENSMUSG00000041945.12	Mfsd9	43	20	45	15	17	3	35	17	60	36	45	15	31	4	44	26
ENSMUSG00000041949.6	Tango6	1412	437	1406	366	1293	348	1591	527	4882	3263	3718	2320	4405	2760	5943	4338
ENSMUSG00000041954.18	Tnfrsf18	1	0	2	2	0	0	0	0	1	0	2	2	4	0	0	0
ENSMUSG00000041957.15	Pkp2	1957	404	2027	398	638	99	1449	313	3049	1359	2803	1081	1043	383	2198	999
ENSMUSG00000041958.10	Pigs	1391	270	1250	197	764	133	1167	231	1591	440	1412	326	893	236	1311	359
ENSMUSG00000041959.14	S100a10	5693	451	3859	353	2119	207	2421	226	6118	786	4118	577	2271	351	2592	382
ENSMUSG00000041961.14	Znrf3	1164	639	941	538	511	257	972	547	10853	8726	6067	4915	4933	3746	9003	7561
ENSMUSG00000041966.18	Dcaf17	1635	386	2064	388	1349	280	1729	418	2101	771	2480	744	1681	524	2246	860
ENSMUSG00000041974.10	Spidr	1894	339	2134	271	1263	170	1903	375	5346	3184	4411	2210	3938	2068	5349	3419
ENSMUSG00000041975.17	Mettl8	335	53	383	67	371	77	370	83	980	606	827	450	1161	647	1356	978
ENSMUSG00000041977.18	Arhgef11	2150	563	1709	442	1156	310	1703	490	4349	2457	2920	1521	2271	1193	3560	2195
ENSMUSG00000041984.2	Rptn	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000041986.16	Elmod1	3	1	2	0	6	0	1	0	26	17	10	8	49	4	4	1
ENSMUSG00000041991.18	Hrnr	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000041992.9	Rapgef5	1883	643	1735	455	1091	329	1544	513	5496	3749	3622	2142	3015	1785	4585	3258
ENSMUSG00000041995.8	Zbed3	334	79	257	64	201	32	318	84	907	227	753	208	728	128	952	257
ENSMUSG00000041997.16	Tlk1	5591	1703	6907	2067	6247	1601	7066	2321	10908	6360	11230	6064	10083	4914	13485	8194
ENSMUSG00000042002.11	Foxn4	169	73	205	92	78	23	196	78	269	155	303	166	165	100	342	206
ENSMUSG00000042010.16	Acacb	1838	379	1091	234	719	145	1230	282	2536	917	1511	535	1112	377	1799	772
ENSMUSG00000042015.17	Wdr41	1245	193	1047	125	799	108	1096	158	2255	1066	1652	633	1385	569	1930	878
ENSMUSG00000042029.7	Ncapg2	5290	1698	4969	1459	3322	982	4542	1566	6774	3036	5859	2275	4390	1864	5747	2682
ENSMUSG00000042031.4	Lce3b	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000042032.13	Mat2b	2854	1246	3337	1321	1485	567	2449	1080	3660	1981	3950	1866	1921	955	3062	1647
ENSMUSG00000042035.11	Igsf3	2153	520	1743	408	1485	400	2002	549	3731	1855	2762	1324	2446	1198	3510	1887
ENSMUSG00000042041.7	2010003K11Rik	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000042042.14	Csgalnact2	411	163	421	124	216	52	314	97	798	478	677	354	423	202	673	399
ENSMUSG00000042043.6	Tbca	1807	92	1788	91	1301	54	1465	108	3833	1865	3005	1168	2225	831	3195	1711
ENSMUSG00000042045.6	Sln	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042046.15	Dstyk	1125	464	790	243	646	184	984	387	2048	1255	1279	647	1244	597	1898	1181
ENSMUSG00000042050.8	Wdr60	857	209	624	168	544	122	557	184	1231	532	822	348	769	290	854	443
ENSMUSG00000042055.13	Wdr11	3070	784	2524	647	2020	390	2529	710	4112	1675	3284	1323	2536	825	3324	1444
ENSMUSG00000042063.11	Zfp386	2044	1123	1735	880	1512	606	1855	955	2469	1476	2091	1199	1787	830	2260	1321
ENSMUSG00000042064.13	Myo3b	0	0	11	2	6	0	3	0	41	25	62	39	415	22	53	33
ENSMUSG00000042066.16	Tmcc2	238	118	282	121	92	42	225	139	543	347	552	334	245	150	576	453
ENSMUSG00000042073.15	Abhd14b	114	80	54	29	43	15	88	52	134	92	74	49	55	27	112	71
ENSMUSG00000042078.14	Svop	95	33	43	10	19	4	47	23	1099	868	815	690	825	638	1492	1315
ENSMUSG00000042079.13	Hnrnpf	15555	2728	18177	3228	8064	1428	16910	3472	21346	7752	22960	7487	12149	5054	23207	9276
ENSMUSG00000042082.7	Arsb	55	14	25	3	41	1	27	3	164	89	67	36	254	19	92	56
ENSMUSG00000042087.5	4933440N22Rik	20	7	32	21	36	26	47	33	20	7	32	21	36	26	47	33
ENSMUSG00000042092.5	Lce1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042096.15	Dao	3	0	2	2	7	3	1	1	8	5	10	4	25	4	2	2
ENSMUSG00000042097.17	Zfp239	553	226	606	293	365	192	605	295	697	333	744	402	506	287	782	440
ENSMUSG00000042099.16	Kank3	1517	389	1367	404	1253	402	1346	490	1964	738	1696	643	1664	706	1735	801
ENSMUSG00000042102.7	Dmgdh	21	3	15	0	45	17	41	4	54	24	34	14	191	66	104	54
ENSMUSG00000042104.18	Uggt2	1398	681	749	348	534	264	765	419	3252	2240	1582	1060	1377	862	1922	1375
ENSMUSG00000042105.18	Inpp5f	920	256	1051	271	399	80	664	161	1350	633	1337	526	633	196	1007	482
ENSMUSG00000042106.5	Inka1	23	6	33	23	8	7	16	9	24	7	33	23	8	7	16	9
ENSMUSG00000042109.8	Csdc2	30	3	33	7	11	3	25	5	40	12	45	17	18	6	37	15
ENSMUSG00000042111.9	Ccdc115	1871	601	2285	723	1844	502	1961	650	1872	602	2285	723	1842	502	1962	651
ENSMUSG00000042115.4	Klhdc8a	41	9	19	3	21	3	30	9	58	18	25	8	22	4	37	16
ENSMUSG00000042116.3	Vwa1	117	37	102	53	102	33	136	59	139	54	126	73	146	63	170	86
ENSMUSG00000042118.7	Bhmt2	7	1	16	2	32	13	16	3	32	16	26	7	71	19	24	11
ENSMUSG00000042121.16	Ssh1	1643	390	1402	342	863	199	1229	355	2258	880	1856	731	1098	391	1731	806
ENSMUSG00000042124.5	Lce1f	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000042129.8	Rassf4	158	24	81	14	51	8	73	25	208	61	96	26	89	36	110	55
ENSMUSG00000042133.16	Ppig	7978	1651	10408	2091	8989	1776	9019	2182	9391	2906	11538	3121	10129	2753	10507	3592
ENSMUSG00000042138.9	Msantd2	2364	1025	2357	997	1946	713	2892	1176	9440	6043	7348	4498	8424	4668	11431	7292
ENSMUSG00000042148.8	Cox10	1231	300	1112	280	503	89	882	200	4734	3308	3465	2349	2096	1395	3752	2811
ENSMUSG00000042155.3	Klhl23	210	46	301	67	130	22	261	65	229	63	321	83	139	28	277	77
ENSMUSG00000042156.16	Dzip1	1517	592	1143	362	831	275	1203	503	2914	1611	1946	982	1489	735	2110	1233
ENSMUSG00000042157.2	Sprr2i	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000042165.8	Gm9774	92	30	127	55	60	10	107	44	92	30	127	55	60	10	107	44
ENSMUSG00000042167.6	Tent2	1841	646	1612	443	1708	400	1879	619	4206	2785	2980	1684	3080	1584	3890	2483
ENSMUSG00000042178.6	Armc5	478	166	517	185	299	97	557	194	515	201	550	212	313	109	591	222
ENSMUSG00000042179.6	Pnliprp1	0	0	0	0	0	0	0	0	0	0	1	1	41	0	0	0
ENSMUSG00000042182.16	Bend6	17	3	20	0	4	0	18	9	150	93	152	105	156	46	171	134
ENSMUSG00000042184.11	1700069L16Rik	2	1	0	0	0	0	0	0	5	1	11	7	34	2	7	4
ENSMUSG00000042185.14	Nfrkb	3776	1929	2640	1381	2224	1141	3084	1736	4765	2760	3289	1957	2767	1600	3920	2496
ENSMUSG00000042189.5	Tekt3	0	0	0	0	0	0	0	0	2	0	0	0	17	0	1	0
ENSMUSG00000042190.12	Cmklr1	670	199	279	114	308	105	389	163	1241	678	430	226	629	358	791	496
ENSMUSG00000042195.9	Slc35f2	1692	430	2984	668	905	138	1781	459	2530	1183	3764	1366	1368	498	2784	1402
ENSMUSG00000042197.13	Zfp451	6281	2790	5432	2051	4644	1563	5816	2523	8240	4448	6904	3311	5853	2433	7679	4134
ENSMUSG00000042198.12	Chchd7	386	55	439	53	291	34	318	53	471	128	505	101	386	90	386	105
ENSMUSG00000042200.3	Cdrt4	3	1	1	1	0	0	1	1	48	27	21	15	55	12	11	10
ENSMUSG00000042202.15	Slc35e2	2307	688	1910	642	1411	502	2050	791	3150	1400	2764	1387	2067	1026	2957	1592
ENSMUSG00000042203.8	Tbc1d22b	806	198	710	128	547	108	847	192	0	0	5	0	0	0	4	0
ENSMUSG00000042207.17	Kdm5b	26747	6289	22615	4924	24645	4864	26630	6384	31925	10762	25697	7695	27921	7704	31051	10427
ENSMUSG00000042208.15	0610010F05Rik	1410	256	1331	130	674	88	966	144	2310	966	1887	560	1103	345	1522	599
ENSMUSG00000042210.17	Abhd14a	751	142	854	178	351	62	823	167	1112	393	1110	373	574	218	1184	454
ENSMUSG00000042211.7	Fbxo38	6495	1541	7035	1469	4412	917	5849	1346	8225	3055	8379	2668	5364	1744	7357	2739
ENSMUSG00000042212.3	Sprr2d	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000042213.17	Zfand4	40	23	31	6	10	6	38	23	340	196	204	119	200	89	234	181
ENSMUSG00000042215.8	Bag2	299	57	308	52	139	7	217	34	376	121	364	105	193	45	280	95
ENSMUSG00000042216.13	Sgsm1	142	44	199	53	101	28	196	64	440	263	425	224	310	173	420	242
ENSMUSG00000042219.6	Olfr631	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0
ENSMUSG00000042225.3	Ammecr1	2193	247	1844	233	1292	88	1574	180	3831	1713	2680	999	2091	684	2738	1262
ENSMUSG00000042228.14	Lyn	290	62	153	31	54	10	83	19	629	352	313	163	322	84	255	158
ENSMUSG00000042229.9	Rabif	1304	430	1264	424	671	229	1161	481	1919	979	1790	890	1003	524	1767	1035
ENSMUSG00000042240.14	Crybb2	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0
ENSMUSG00000042243.10	BC051665	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000042244.4	Pglyrp3	18	0	6	3	12	0	9	2	49	21	42	36	51	5	38	17
ENSMUSG00000042246.5	Tmc7	107	17	89	8	38	6	67	15	162	51	113	31	52	7	102	48
ENSMUSG00000042248.4	Cyp2c37	4	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0
ENSMUSG00000042249.11	Grk3	190	39	151	24	119	9	230	55	371	188	306	149	327	94	469	239
ENSMUSG00000042250.13	Pglyrp4	0	0	0	0	5	0	0	0	8	0	3	0	13	0	0	0
ENSMUSG00000042251.12	Pm20d1	629	190	255	90	270	100	366	174	931	448	454	255	454	249	673	459
ENSMUSG00000042254.14	Cilp	17	0	1	1	5	1	1	1	17	0	1	1	21	1	1	1
ENSMUSG00000042256.5	Ptchd4	8	4	11	8	11	8	7	4	72	43	164	113	290	16	119	83
ENSMUSG00000042258.13	Isl1	14	4	11	5	17	0	8	3	17	7	14	8	26	1	8	3
ENSMUSG00000042262.5	Ccr8	13	3	0	0	2	2	2	1	14	4	0	0	4	2	2	1
ENSMUSG00000042265.13	Trem1	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0
ENSMUSG00000042268.10	Slc26a9	134	46	125	46	23	10	111	38	229	121	210	111	46	15	204	118
ENSMUSG00000042269.15	Fam92b	2	0	2	0	0	0	0	0	7	1	2	0	7	0	2	2
ENSMUSG00000042271.13	Nxt2	1353	223	1094	144	1498	187	1395	229	1397	261	1108	158	1536	204	1440	270
ENSMUSG00000042272.17	Sestd1	1746	405	1588	302	904	160	1302	262	3570	1900	2802	1299	1526	594	2618	1411
ENSMUSG00000042275.9	Pelo	508	174	525	205	272	101	445	177	0	0	0	0	0	0	0	0
ENSMUSG00000042279.13	H1f8	0	0	2	0	2	0	1	0	0	0	2	0	9	0	1	0
ENSMUSG00000042282.4	Gucy2f	1	0	0	0	18	0	0	0	12	6	5	3	224	13	2	1
ENSMUSG00000042284.10	Itga1	599	139	622	152	267	66	334	92	742	263	734	256	353	95	456	203
ENSMUSG00000042286.13	Stab1	8	3	13	10	11	0	9	4	22	10	23	14	36	16	18	7
ENSMUSG00000042289.11	Hsd3b7	158	105	133	93	119	81	194	147	0	0	0	0	0	0	0	0
ENSMUSG00000042292.18	Mrtfa	872	324	603	221	341	135	674	278	5894	4677	2999	2395	2551	1959	4427	3714
ENSMUSG00000042293.8	Gm5617	143	51	98	22	48	16	83	20	143	51	98	22	48	16	83	20
ENSMUSG00000042298.18	Ttc19	1956	793	1606	656	928	357	1306	605	4608	2898	3280	2033	2302	1460	3300	2292
ENSMUSG00000042302.14	Ehbp1	1408	452	1150	291	898	292	1083	353	5374	3869	3129	2031	3040	1691	3899	2911
ENSMUSG00000042303.19	Sgsm3	1640	325	974	204	713	119	1082	241	2111	695	1198	387	975	316	1439	562
ENSMUSG00000042305.12	Tmem183a	4257	865	4411	932	3051	555	4501	983	5144	1618	5154	1601	3702	1130	5390	1801
ENSMUSG00000042306.11	S100a14	23	0	7	1	19	0	7	0	25	2	7	1	19	0	7	0
ENSMUSG00000042308.14	Setd1a	1716	518	1276	478	1169	364	1718	643	1560	653	1189	565	1222	485	1553	697
ENSMUSG00000042312.10	S100a13	247	29	247	27	76	6	122	14	272	49	282	59	113	15	138	23
ENSMUSG00000042320.17	Prox2	3	3	22	9	5	0	11	9	17	15	42	21	13	3	22	16
ENSMUSG00000042323.17	Pbrm1	10772	2194	9395	1885	7846	1536	10105	2361	14415	5455	11979	4275	10063	3358	13339	5398
ENSMUSG00000042328.13	Hps4	785	236	634	177	508	116	714	260	1231	612	930	432	833	401	1091	599
ENSMUSG00000042331.13	Specc1	3391	971	1645	430	403	127	993	333	6858	3932	2879	1483	1409	693	2258	1477
ENSMUSG00000042333.16	Tnfrsf14	6	0	2	2	0	0	3	0	6	0	2	2	4	0	3	0
ENSMUSG00000042340.6	Ctf1	90	32	72	27	36	2	79	19	125	64	119	70	57	17	129	67
ENSMUSG00000042345.15	Ubash3a	203	76	92	36	127	35	88	46	282	136	127	68	210	86	131	78
ENSMUSG00000042348.10	Arl15	1742	385	1950	402	1190	254	1666	362	19871	15707	12386	9277	12198	9149	20574	16938
ENSMUSG00000042349.13	Ikbke	288	116	85	26	91	36	131	61	460	237	135	57	153	81	193	111
ENSMUSG00000042350.13	Arel1	1996	430	1872	398	1074	266	1596	450	2924	1217	2438	907	1654	722	2433	1215
ENSMUSG00000042351.9	Grap2	5	0	3	0	5	0	2	2	14	4	18	10	70	3	10	10
ENSMUSG00000042353.9	Frem3	10	4	2	0	2	0	3	0	47	30	26	18	125	4	15	8
ENSMUSG00000042354.7	Gnl3	11123	4678	14701	6299	9819	3818	13059	5797	11139	4691	14724	6320	9838	3836	13079	5817
ENSMUSG00000042357.2	Gjb5	601	170	703	237	354	83	458	153	627	191	749	273	373	101	475	169
ENSMUSG00000042359.18	Osbpl6	85	28	63	6	52	14	86	25	246	154	171	87	314	66	205	127
ENSMUSG00000042360.12	4930433N12Rik	6	1	7	4	16	0	4	0	94	41	70	28	106	9	65	32
ENSMUSG00000042363.14	Lgalsl	1572	654	1392	530	416	166	813	376	1689	750	1445	582	432	181	852	414
ENSMUSG00000042364.11	Snx18	5482	1754	4917	1569	3981	1183	4694	1648	6434	2576	5487	2056	4605	1712	5663	2539
ENSMUSG00000042367.12	Gjb3	4493	1193	5604	1838	1787	491	2971	1024	4960	1570	6077	2241	1988	646	3191	1212
ENSMUSG00000042369.8	Rbm45	2172	317	2244	355	1615	251	2183	396	2797	840	2898	932	1990	557	2763	910
ENSMUSG00000042371.12	Slc5a10	10	5	14	2	7	6	17	8	53	34	89	59	29	14	52	30
ENSMUSG00000042372.5	Dmrt3	24	11	23	12	4	0	15	2	30	15	27	16	32	5	26	9
ENSMUSG00000042377.8	Fam83g	783	335	790	352	219	102	455	217	1154	639	1041	565	320	190	663	391
ENSMUSG00000042379.8	Esm1	6	0	2	0	0	0	1	0	7	0	2	0	12	0	1	0
ENSMUSG00000042380.8	Smim12	934	175	854	173	527	91	665	145	1046	264	976	286	602	155	762	221
ENSMUSG00000042385.14	Gzmk	2	0	0	0	0	0	0	0	4	2	0	0	43	1	2	0
ENSMUSG00000042386.7	Tex13b	242	73	64	29	653	193	130	47	367	109	111	44	929	250	194	68
ENSMUSG00000042388.14	Dlgap3	1353	301	1318	246	2275	369	2248	468	2737	1445	2210	959	4646	2254	4550	2469
ENSMUSG00000042389.13	Tsen2	1179	378	1341	316	664	211	1172	442	2100	1121	2244	1090	1388	811	2228	1382
ENSMUSG00000042390.9	Gatad2b	3979	1869	3062	1386	4109	1357	4487	1955	6933	4543	4819	3011	5844	2769	7318	4604
ENSMUSG00000042396.10	Rbm7	2446	727	2596	750	1517	450	2315	769	2668	903	2813	929	1647	553	2523	951
ENSMUSG00000042401.8	Crtac1	524	92	239	48	261	42	421	76	6323	4440	2095	1417	4230	2717	4718	3314
ENSMUSG00000042404.16	Dennd4b	466	179	361	157	187	52	343	122	550	255	459	236	256	101	410	176
ENSMUSG00000042406.8	Atf4	6997	3781	10416	5556	4662	2754	7794	4430	6993	3777	10416	5556	4659	2751	7794	4430
ENSMUSG00000042408.13	Zmym6	1178	380	1279	333	1244	275	1373	450	1913	989	1999	935	2195	1048	2424	1352
ENSMUSG00000042410.16	Agps	6152	1052	6098	885	3571	489	5153	915	9726	4202	8301	2879	5439	2088	8358	3902
ENSMUSG00000042414.7	Prdm14	1158	407	686	260	921	313	879	335	1454	646	841	389	1110	475	1099	524
ENSMUSG00000042417.5	Ccno	83	37	153	60	20	13	64	32	83	37	157	60	20	13	64	32
ENSMUSG00000042419.8	Nfkbil1	337	132	270	124	201	104	272	115	801	532	666	482	553	403	816	604
ENSMUSG00000042423.9	Fbrs	1194	488	714	328	949	338	1219	555	1442	707	919	518	1163	521	1450	769
ENSMUSG00000042425.18	Frmpd3	8	5	12	6	12	2	28	20	54	43	50	40	102	20	58	45
ENSMUSG00000042426.6	Dhx29	6697	790	5742	688	5390	672	5714	795	7745	1686	6431	1293	6175	1357	6503	1502
ENSMUSG00000042428.6	Mgat3	1372	452	797	253	1287	362	1559	571	2867	1693	1350	706	2434	1269	3046	1833
ENSMUSG00000042429.8	Adora1	8	3	11	10	9	8	10	6	19	11	15	14	28	12	17	13
ENSMUSG00000042433.2	Pih1h3b	0	0	0	0	0	0	6	2	31	18	7	6	94	8	21	16
ENSMUSG00000042436.12	Mfap4	27	4	48	3	9	0	41	9	27	4	48	3	9	0	41	9
ENSMUSG00000042439.13	Zfp532	8335	3526	7697	3129	4808	1952	9998	4676	19982	13163	15072	9446	11114	7055	22965	16000
ENSMUSG00000042444.10	Mindy2	195	44	117	21	93	13	135	30	295	123	173	67	253	60	252	124
ENSMUSG00000042446.16	Zmym4	7400	1870	6740	1584	7272	1506	7458	1965	12599	6504	9825	4331	11334	4954	12576	6712
ENSMUSG00000042447.13	Mios	2337	477	2948	480	1347	173	2098	440	2808	908	3426	897	1581	367	2510	838
ENSMUSG00000042448.5	Hoxd1	8	7	6	5	0	0	7	3	8	7	6	5	0	0	7	3
ENSMUSG00000042451.12	Mybph	2	0	1	0	0	0	2	1	2	0	1	0	0	0	2	1
ENSMUSG00000042453.14	Reln	102	16	77	18	55	3	100	19	317	157	231	134	807	182	385	262
ENSMUSG00000042459.8	Bpifa2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
ENSMUSG00000042460.5	C1galt1	1501	320	1494	327	687	156	887	229	2164	842	2037	762	1003	379	1349	616
ENSMUSG00000042462.4	Dctpp1	2826	225	3543	258	1416	156	2861	231	2978	341	3712	391	1544	274	3002	359
ENSMUSG00000042472.11	Zfp410	1770	892	1424	707	992	556	1411	816	2292	1344	1742	984	1278	784	1915	1275
ENSMUSG00000042473.8	Tbc1d8b	421	173	191	90	218	90	259	138	978	670	431	302	565	300	635	479
ENSMUSG00000042474.6	Fcmr	1	0	0	0	0	0	0	0	3	0	0	0	10	0	0	0
ENSMUSG00000042476.12	Abcb4	10	4	12	4	16	0	10	9	23	11	26	7	88	10	20	15
ENSMUSG00000042477.7	Tfap2e	11	3	7	4	5	0	8	2	26	16	13	9	28	2	19	13
ENSMUSG00000042485.7	Mustn1	14	5	8	3	1	1	6	3	18	9	8	3	2	1	9	6
ENSMUSG00000042487.6	Leo1	7110	1604	6842	1424	6825	1295	6771	1627	7931	2336	7350	1881	7272	1677	7461	2240
ENSMUSG00000042489.15	Clspn	4858	1295	5173	1242	4603	1088	4618	1298	5461	1810	5535	1547	5077	1457	5123	1756
ENSMUSG00000042492.12	Tbc1d10b	5811	1173	5511	1119	6494	1028	6850	1549	6056	1375	5732	1304	6794	1253	7198	1834
ENSMUSG00000042496.18	Prdm10	1779	527	1874	556	1694	505	2303	777	4038	2222	3549	1888	3693	1869	4933	2847
ENSMUSG00000042498.16	Radx	260	32	191	37	295	42	325	56	407	154	253	86	526	115	452	166
ENSMUSG00000042499.13	Hoxd11	0	0	2	2	5	1	0	0	0	0	2	2	10	1	0	0
ENSMUSG00000042500.11	Ago4	44	19	26	6	26	6	27	14	88	50	35	14	90	17	37	22
ENSMUSG00000042501.12	Cpa6	3	1	0	0	6	1	0	0	100	55	31	16	609	16	26	21
ENSMUSG00000042502.10	Cd2bp2	6439	2138	6679	2351	4273	1431	5745	2143	6439	2138	6679	2351	4273	1431	5745	2143
ENSMUSG00000042505.6	Sdhaf3	285	93	243	55	142	50	275	114	1061	780	656	416	613	375	956	729
ENSMUSG00000042506.15	Usp22	9777	1807	7400	1425	4130	634	6518	1250	10758	2636	8066	2011	4530	969	7114	1772
